INNPG8	NAMPONG
INNPR3	NAGAPUR
INNPT1	NAGAPATTINAM
INNSA1	JAWAHARLAL NEHRU (NH
INNVB1	NAVABUNDER(WITH ITS
INNVP1	NAVASPUR
INNVT1	NIVTI
INNVY4	NEYVELI
INNWP1	NEWAPUR
INOKH1	OKHA
INOMN4	OSMANABAD
INONJ1	ONJAL
INPAN1	PANAJI PORT
INPAP2	PANIPAT
INPAP3	PANIPAT
INPAT4	PATNA
INPAV1	PIPAVAV (VICTOR) POR
INPAV2	PIPAVAV (VICTOR) POR
INPAV3	PIPAVAV (VICTOR) POR
INPBD1	PORBANDAR
INPBD4	PORBANDAR
INPDI3	PADI
INPGH4	PANTNAGAR
INPHB8	PHULBARI
INPID1	PORT INDAI
INPIN1	PINDHARA
INPIR3	PITHAMPUR
INPMB1	PAMBAN
INPMP6	PIMPRI
INPNJ1	PANJIM
INPNM1	PANAMBUR
INPNN1	PONNANI
INPNQ2	PUNE
INPNQ3	PUNE
INPNQ4	PUNE
INPNT8	PANITANKI(NAXALBARI)
INPNY1	PONDICHERRY
INPNY4	PONDICHERRY
INPPG3	PATPARGANJ
INPPJ1	PELLET PLANT JETTY A
INPRG1	PURANGAD
INPRT1	PARADEEP
INPSH1	PALSHET
INPTN1	PORTONOVO
INPTP8	PETRAPOLE ROAD
INPUL1	PULICAT
INPUR1	PURI
INPUT4	PUTTAPARTHI
INPYB4	JEYPORE
INQUI1	QUILON
INRAJ4	RAJKOT
INRAM1	RAMESHWARAM
INRDP2	RADHIKAPUR RAILWAY S
INRED1	REDI
INREW4	REWA
INRGB8	OLD RAGHNA BAZAR
INRGT1	RANGHAT BAY
INRGU8	RYNGKU
INRJA4	RAJAHMUNDRY
INRJI4	RAJOURI
INRJP1	RAJPARA
INRJR1	RAJPURI
INRKG1	RAJAKKAMANGALAM
INRMD4	RAMAGUNDAM
INRNG2	RANAGHAT RAILWAY STA
INRNR1	RANPAR
INRPL6	RADDIPALAM
INRPR4	RAIPUR
INRPR6	RAIPUR
INRRI1	RAILI
INRRK4	ROURKELA
INRTC1	RATNAGIRI
INRTC4	RATNAGIRI
INRUP4	RUPSI
INRVD1	REVDANDA
INRWR1	RAMESHWARAM
INRXL8	RAXAUL
INSAB8	SABROOM
INSAC6	SACHIN (SURAT)
INSAL1	SALAYA
INSBH1	SINBHOUR
INSBZ8	SHELLA BAZAR
INSHI1	SHIROLA
INSHL4	SHILLONG
INSHP1	SINBHOUR PORT
INSIK1	SIKKA
INSIR3	SINGNALLUR
INSKP8	SUKHIA POKHARI
INSLV4	SIMLA
INSMP8	SRIMANTAPUR
INSMR1	SIMOR
INSNB8	SONABARSA
INSNG2	SINGABAD RAILWAY STA
INSNL8	SONAULI
INSRE6	SAHARANPUR
INSRV1	SURASANI-YANAM
